,,,,,,,,,,,,,,,,, ml , dl , l , t , T , floz , oz , c , pt , qt , gal ,g,lb
,,,,,,,,,,,,,,,"elderberries, raw",," 0,61 ", 61 , 613 ," 3,1 "," 9,2 "," 18,1 "," 28,3 ", 145 , 290 , 580 , 2.320 ,1,453
,,,,,,,,,,,,,,,evaporated milk,," 0,93 ", 93 , 930 ," 4,7 "," 14,0 "," 27,5 "," 28,3 ", 220 , 440 , 880 , 3.520 ,1,453
,,,,,,,,,,,,,,,farina,," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,,,,,,,,,,,,,,,"fat, duck",," 0,87 ", 87 , 866 ," 4,3 "," 13,0 "," 25,6 "," 28,3 ", 205 , 410 , 820 , 3.280 ,1,453
,,,,,,,,,,,,,,,"fennel seed, whole",," 0,39 ", 39 , 387 ," 1,9 "," 5,8 "," 11,4 "," 28,3 ", 91 , 183 , 366 , 1.464 ,1,453
,,,,,,,,,,,,,,,fenugreek seed,," 0,74 ", 74 , 740 ," 3,7 "," 11,1 "," 21,9 "," 28,3 ", 175 , 350 , 700 , 2.801 ,1,453
,,,,,,,,,,,,,,,"figs, dried",," 0,66 ", 66 , 660 ," 3,3 "," 9,9 "," 19,5 "," 28,3 ", 156 , 312 , 625 , 2.498 ,1,453
,,,,,,,,,,,,,,,flour,," 0,60 ", 60 , 600 ," 3,0 "," 9,0 "," 17,7 "," 28,3 ", 142 , 284 , 568 , 2.271 ,1,453
,,,,,,,,,,,,,,,"flour, plain wheat",," 0,60 ", 60 , 600 ," 3,0 "," 9,0 "," 17,7 "," 28,3 ", 142 , 284 , 568 , 2.271 ,1,453
,,,,,,,,,,,,,,,"flour, plain wheat - scooped",," 0,65 ", 65 , 650 ," 3,3 "," 9,8 "," 19,2 "," 28,3 ", 154 , 308 , 615 , 2.461 ,1,453
,,,,,,,,,,,,,,,"flour, plain wheat - spooned",," 0,55 ", 55 , 550 ," 2,8 "," 8,3 "," 16,3 "," 28,3 ", 130 , 260 , 520 , 2.082 ,1,453
